Fail_Section,equip_runs_counter,Preset_1,Preset_2,Temperature,Pressure,VibrationX,VibrationY,VibrationZ,Frequency,Fail
0,1,3,6,44.23518586415284,47.65725354833926,46.44176923068589,64.82032657891138,66.45451956495226,44.48324980824037,False
0,2,2,4,60.80723444879629,63.17207576842222,62.00595106708013,80.71443106372683,81.2464046543589,60.22871479342204,False
0,3,2,1,79.02753565280922,83.03218967065293,82.64210959422543,98.2543855725768,98.78519593981386,80.99347914594966,False
0,4,2,3,79.71624156697328,100.5086344886615,122.36232148005855,121.36342870189368,118.65253755569158,80.31556651280096,False
0,5,2,5,39.98905447038245,51.76483343470046,42.51430194833384,61.03791021641865,50.71646879990912,64.24516587048186,False
0,6,1,2,58.33608516610776,64.42635318181952,56.479226973543625,78.62374174260457,65.9115276260396,78.88621402415436,False
0,7,1,3,77.93777730868518,83.14665660672175,77.80058968354564,109.67904751098642,86.23072783994853,99.68117932509142,False
0,8,1,4,78.56350579645732,130.08991151469624,110.47987136045792,130.9970199768492,85.21856206935989,98.46737547392908,False
0,9,3,7,77.48621811181675,104.46295542840215,77.39038839955747,159.42348288274437,115.21193417840207,98.90026835829048,False
0,10,1,8,42.61915864954467,48.343335790415,65.7891557607292,49.52482884061411,64.91508976597632,41.62071465509108,False
0,11,2,5,59.50136430491949,64.46925943011358,79.06783336468564,65.89148493590817,79.44621580920155,60.208221366611774,False
0,12,2,5,80.66249668018938,84.27346407882217,99.62877806125697,83.70190704204607,103.14104442290302,77.8883696427241,False
0,13,1,1,79.80650931072849,103.12973763998724,120.75310300334772,134.5009054811537,115.87319742582842,76.56285600076251,True
1,14,3,8,46.01219123516164,30.755213637334048,35.021092356258364,17.88760817566699,21.5112505817172,44.889677484501966,False
1,15,1,6,48.69096459034,19.913004886585867,54.45533557547091,25.133192584263156,24.279292913259745,31.1211386801744,False
1,16,3,5,59.20124984330761,43.38527647920722,49.066485298836845,89.19992516000273,79.26700369041207,70.26624252160462,False
1,17,1,3,39.18709590934901,34.08334697921782,30.173297322986325,19.63329039883817,20.65086270404082,48.24373885418084,False
1,18,2,4,44.07871748928103,25.834223889278217,51.3481031411045,25.656732509678765,24.45892777534026,33.20086201612949,False
1,19,3,1,65.35206551815605,90.90118279473288,39.39668683758067,44.05026626644354,78.28995520317477,75.43900771474912,False
1,20,2,6,65.38699108649853,150.50277476215126,40.55361543916053,14.341926753322255,79.77216480827944,145.72245483810096,False
1,21,2,2,39.77468772001118,44.4507432785952,38.95898229871159,33.93943208496899,35.11569489754013,56.66679772200113,False
1,22,2,4,62.80160619043731,59.84864062353956,55.79565434768016,48.60672011080185,48.259038493480126,70.82885413498292,False
1,23,3,8,81.83700891622891,80.08540633296776,76.20311129075449,70.77517118657568,67.82937751161757,101.4457296598278,False
1,24,2,3,83.21390848177116,80.38020582163414,79.99717718244978,134.22138514687438,81.72500910514708,121.45331002019302,False
1,25,1,7,29.906236088762476,57.04797219231815,34.633811628566704,24.521685777630548,33.891921332058644,72.94112724322461,False
1,26,2,8,54.688073252346655,79.63755682329023,61.47269962997456,50.09229323735972,69.83776363336324,97.84775678931756,False
1,27,2,4,39.530741261397175,59.29434876735278,29.131192990352314,32.3190582229739,29.642047304881046,69.84529070219497,False
1,28,2,2,65.8854362481166,92.5719837439116,66.09296356739438,61.336395973568784,60.85868682425119,99.08074274748424,False
1,29,3,1,34.29444408428433,58.694897039353954,44.05977433615447,38.285301345175554,53.392313965276784,54.63583182713487,False
1,30,2,2,58.79160316949757,85.806435418418,70.30677166900665,64.8171653472597,78.39841453046117,81.45468534010594,False
1,31,2,5,35.49864688284704,56.19258790086264,40.70287801001922,51.30887618797877,50.48616932750221,90.75840129062028,False
1,32,2,4,61.97709261558516,91.20696184785864,54.556849651874735,90.6568418621426,80.01493994582525,111.61698001812292,False
1,33,3,5,49.72011922165315,74.76187526763654,84.2925820585248,20.512680530076626,30.58916655198496,39.08061894801936,False
1,34,3,4,76.75927233454397,101.11106441403412,110.39023183646562,44.30224611977321,56.58751052458717,66.17857682414854,False
1,35,2,8,54.59092637063649,45.52451707652022,54.0750249520765,39.46880128399293,39.5878265986364,40.27265348267475,False
1,36,2,5,70.4434574012617,62.541420313247066,66.90623645916881,54.64783733972252,54.0914477795748,55.8599633555177,False
1,37,2,3,89.91856905388258,92.27863011866704,89.09011162050584,75.18931804136412,83.54526183361071,75.11822912476654,False
1,38,2,1,45.46343177410076,58.53683553506711,39.35014776716161,39.53410868314577,38.4110174314464,49.85260911697134,False
1,39,1,3,61.47307906473549,71.48937929485032,57.32756605886908,56.10441068807218,55.6457759003234,66.04180542942764,False
1,40,2,4,81.30499214726294,100.7960353077329,76.9230511005243,85.6291785731896,73.98051277812942,84.78317720218033,False
1,41,1,5,70.86979416438925,46.08262938555351,48.99931365256243,60.623288299095385,62.39853561304096,34.32509218939652,False
1,42,1,6,95.33139485370192,70.93029666506288,72.9182770832112,94.1342471190964,88.81519813775455,62.29132299053922,False
1,43,1,3,37.17173134429724,41.25289568149666,40.99869027081586,50.44948381107778,65.88205449999703,63.71021497110017,False
1,44,1,7,73.55064283275956,74.37486614060049,73.66521437048335,82.91071241507383,99.09113963726791,99.08559669119632,False
1,45,3,3,116.30107567431064,45.07428602621276,19.530348313166773,44.70150479255236,25.701206892052312,20.70094346819519,False
1,46,3,4,139.17148913734437,69.651889772787,45.81026432727553,85.23160342265489,50.46858256144141,45.18784430422053,False
1,47,1,6,38.96347703784512,44.09060698773882,33.74114164913997,31.37184696337671,38.35043748251837,54.40582421221233,False
1,48,2,3,75.0513766670084,78.86459496151497,71.3993428818435,65.66273588587713,74.20784072348215,91.5490080894932,False
1,49,2,4,45.31359248501403,50.3155043157625,53.84075446118037,74.35884190383005,64.97286569216722,29.84342866936727,False
1,50,2,5,60.06181706568592,66.17386814834371,68.44557228457323,84.12195590283034,73.80830272511118,40.17766308277629,False
1,51,3,2,74.98379209041049,81.1267785029456,84.86821838100569,111.45847577163526,89.67596554984998,49.37203796953432,False
1,52,2,1,34.79796774391001,71.0122861310028,55.4254470255158,46.842304513141166,54.0331295287409,24.610565464658382,False
1,53,1,1,61.292131936545495,95.9647204019154,80.79220332546609,59.51144196864666,79.21976322944899,29.54693108623473,False
1,54,2,2,59.56036308290774,56.45843712275707,50.51654759872533,41.17577356822475,54.059456744784406,44.79137899700653,False
1,55,3,1,67.59232420882887,62.555413533965904,59.86906547367336,90.09252648021386,76.00149283276254,88.5911123845853,False
1,56,1,6,9.32215408725349,56.02121278750335,23.117043524463423,34.34919800363352,44.00229060831247,95.17829535031603,False
1,57,2,5,34.46699609481962,80.61344996601076,48.30688354192018,49.254130715957885,69.72688287234132,120.31706398676307,False
1,58,1,5,38.99497989193696,45.97137140663383,35.94209249005101,40.78423150441074,38.52367717410156,92.00164303093138,False
1,59,3,8,64.14253318228393,68.67872168676465,60.12650348877633,64.42372519189486,65.71924096879545,115.80841588438152,False
1,60,1,3,50.46928448275356,52.81441538261421,49.168410611993146,65.07592184201529,49.363256790009125,54.60606657888509,False
1,61,1,5,78.64481261042818,83.37250599357849,77.5200424667294,93.80861341108428,80.26599709886389,84.74390635982277,False
1,62,3,4,38.61064466091389,80.13115292126864,33.86388748861424,35.66121097647868,45.1079912164446,70.58403774106584,False
1,63,2,1,63.608710061356526,104.930427739358,62.144137313337446,59.828075502494265,69.38976262200573,94.26797318214584,False
1,64,1,7,54.58179855420685,68.83916875791436,44.82591841211145,69.54458336766143,51.08799037445513,59.5523650989878,False
1,65,3,1,90.35099997808108,111.09951747357611,81.81556180359074,99.71101240118084,79.01402908309815,95.73272363834506,False
1,66,1,3,39.72335242934332,51.1928445010787,40.26739688842633,40.87320340981718,39.50420997617336,89.78876458019116,False
1,67,1,3,64.58698512271295,64.4375035241238,64.00831185560504,50.152159220205405,51.18575504508633,88.83238398105458,False
1,68,1,5,91.865321749977,95.22925946649484,94.08243503499556,69.91349582286394,89.57051954745037,69.18695262089317,False
1,69,1,1,25.14758360493675,20.76438447683003,15.77019026791794,105.11330399469924,54.39004390624209,89.09170459120469,False
1,70,2,8,40.72488088300982,35.06649896330479,30.152633687854955,120.19408496808012,70.63898394555542,104.46448237736791,False
1,71,2,6,54.08179209629801,50.76154696285035,44.70697600840518,134.8426463754941,95.52016437458931,120.0211741168696,False
1,72,1,2,54.214398911752895,49.37460270887716,65.32937144259441,176.197917370096,94.90240931605292,150.42088847068678,False
1,73,1,6,67.82328948408673,79.87733184883558,50.49640795804988,34.65975681375511,35.96725281143862,36.49445359910813,False
1,74,1,8,80.43099607257962,99.38467174922076,69.63992019252261,50.95958248056301,59.93719828533074,45.44109118959432,False
1,75,3,5,89.6119415208847,129.75118205760035,78.47624934344178,65.26510770784918,86.27754566253893,54.18621754898294,False
1,76,3,4,50.80048494067988,74.31879837757481,35.41058727391028,70.80271441200252,31.010751993800103,39.65186383285777,False
1,77,2,1,65.45194590602941,89.63819239243598,48.76556139385775,83.45397745270155,44.626551957245496,54.394180990605975,False
1,78,1,4,79.0359842327654,104.91538277198455,64.82885432962706,100.7642572335883,70.98660574377566,71.05342926502864,False
1,79,1,7,41.038496452869765,38.15346665790653,33.626874900710696,49.72511341945439,100.52553341105744,71.06841795294831,False
1,80,3,2,77.55772696793223,68.37164368403444,65.19861852542178,79.21429508024741,120.4771776863848,98.10585991209454,False
1,81,1,3,39.91316603648522,79.92898731290059,99.05908150391409,29.70419212455348,31.9766643979246,19.243636760547595,False
1,82,2,4,54.18543497453208,95.64694926694222,113.66115539487296,44.70292003876848,43.36653128387536,36.910653901997904,False
1,83,1,1,80.71512881473694,120.5630388578349,130.16919773793043,54.10632655167563,64.13347024364927,43.04842252812736,False
1,84,2,7,49.7877301220086,84.41072649024647,54.56265241364526,64.82443687145096,64.96793009275245,91.7961418067118,False
1,85,1,3,64.9488093399678,98.60870649338392,69.60471591977068,78.94028721195191,78.39403482330935,104.31716796655827,False
1,86,2,1,89.98747890662526,66.30741847251352,66.30232784267018,39.52327306454806,40.40974392093328,12.211353174690665,False
1,87,3,8,94.31277465618912,74.71417185631553,108.4304568662854,100.40427294680477,80.46559953226792,29.863443308324392,False
1,88,3,1,96.46629730323046,75.06898407740086,179.9289477355205,129.62029898600773,80.72619965472023,30.22256088879465,False
1,89,1,3,25.34853579658119,34.96650863100557,69.41803141519136,95.37541182521544,54.37211160796638,44.36028183275408,False
1,90,3,3,50.06144187795485,60.969463244537806,94.25683986033928,120.86504152786708,69.15126585662048,67.53363975304552,False
1,91,2,3,52.4662626467654,64.40621338641976,54.81077619548878,59.81118396937404,63.38320728260747,59.4972979397374,False
1,92,2,8,37.81279522994989,84.84591838189124,45.799726590502296,35.24322017736299,35.12521987943405,75.23334784320748,False
1,93,2,7,59.73234363728386,111.03374321422552,69.35703635838422,60.46319904838627,59.073381754366935,100.12844347598768,False
1,94,3,6,66.10272331345608,42.68652884720152,56.59623462667544,44.44471993376594,70.22708543479742,45.93493546837975,False
1,95,3,1,90.23758991846198,68.30544629245036,81.89464148985327,69.42272966115412,94.74846762674652,69.98156857208983,False
1,96,1,1,79.38072988336586,79.33806566002092,51.02962853042267,40.35297273709257,50.30734661278092,24.069644467484387,False
1,97,3,5,103.73807544198402,104.99721658460663,74.11705445601851,63.93854380850557,99.59036026025912,47.9438057375688,False
1,98,3,3,28.41473455584699,65.97896838907276,100.37410502233098,44.34221011147682,23.574943555849828,40.17320931613091,False
